date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:52:08	2649/2649	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202024%2021:52:08%20GMT	https://www.android.com/intl/en_be/=w32	Android/Android/www.android.com/intl/en_be/=w32.31.delayed	(from https://www.android.com/intl/en_be/)
17:52:11	742468/742468	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/da_dk/safety/privacy/	Android/Android/www.android.com/intl/da_dk/safety/privacy/index.html	(from https://www.android.com/intl/da_dk/)
17:52:11	728367/728367	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/da_dk/safety/security/	Android/Android/www.android.com/intl/da_dk/safety/security/index.html	(from https://www.android.com/intl/da_dk/)
17:52:13	2649/2649	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202024%2021:52:13%20GMT	https://www.android.com/intl/en_be/=w180	Android/Android/www.android.com/intl/en_be/=w180.32.delayed	(from https://www.android.com/intl/en_be/)
17:53:09	825889/825889	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/da_dk/learn-find-my-device/	Android/Android/www.android.com/intl/da_dk/learn-find-my-device/index.html	(from https://www.android.com/intl/da_dk/)
17:53:13	719082/719082	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/da_dk/accessibility/vision/	Android/Android/www.android.com/intl/da_dk/accessibility/vision/index.html	(from https://www.android.com/intl/da_dk/)
17:53:14	240201/240201	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20May%202024%2009:08:00%20GMT	https://www.android.com/intl/da_dk/tv/	Android/Android/www.android.com/intl/da_dk/tv/index.html	(from https://www.android.com/intl/da_dk/)
17:53:15	717574/717574	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/da_dk/accessibility/mobility/	Android/Android/www.android.com/intl/da_dk/accessibility/mobility/index.html	(from https://www.android.com/intl/da_dk/)
17:53:15	2649/2649	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202024%2021:53:15%20GMT	https://www.android.com/intl/en_ca/=w16	Android/Android/www.android.com/intl/en_ca/=w16.33.delayed	(from https://www.android.com/intl/en_ca/)
17:53:17	736917/736917	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/da_dk/accessibility/audio/	Android/Android/www.android.com/intl/da_dk/accessibility/audio/index.html	(from https://www.android.com/intl/da_dk/)
17:53:18	243/243	---M--	302	error ('Found')	text/html	date:Tue,%2028%20May%202024%2021:53:17%20GMT	https://www.android.com/intl/da_dk/enterprise/essentials/	Android/Android/www.android.com/intl/da_dk/enterprise/essentials/index.html	(from https://www.android.com/intl/da_dk/)
